xNormalized,yNormalized,levelMicron,confidence
0.125000,0.937500,,
0.140625,0.937500,,
0.156250,0.937500,,
0.171875,0.937500,,
0.187500,0.937500,,
0.203125,0.937500,0.429550,0.200000
0.218750,0.937500,0.429550,0.182744
0.234375,0.937500,,
0.250000,0.937500,,
0.265625,0.937500,,
0.281250,0.937500,,
0.296875,0.937500,,
0.312500,0.937500,0.429550,0.135078
0.328125,0.937500,0.483250,1.000000
0.343750,0.937500,0.483250,0.500000
0.359375,0.937500,0.483250,0.500000
0.375000,0.937500,0.053690,1.000000
0.390625,0.937500,0.053690,0.333333
0.406250,0.937500,0.053690,0.190744
0.421875,0.937500,,
0.437500,0.937500,,
0.453125,0.937500,,
0.468750,0.937500,,
0.484375,0.937500,,
0.500000,0.937500,,
0.515625,0.937500,,
0.531250,0.937500,,
0.546875,0.937500,,
0.562500,0.937500,,
0.578125,0.937500,,
0.593750,0.937500,,
0.609375,0.937500,,
0.625000,0.937500,,
0.640625,0.937500,,
0.656250,0.937500,,
0.671875,0.937500,,
0.687500,0.937500,,
0.703125,0.937500,,
0.718750,0.937500,,
0.734375,0.937500,,
0.750000,0.937500,,
0.765625,0.937500,,
0.781250,0.937500,,
0.796875,0.937500,,
0.812500,0.937500,,
0.828125,0.937500,,
0.843750,0.937500,,
0.859375,0.937500,,
0.875000,0.937500,,
0.890625,0.937500,,
0.906250,0.937500,,
0.921875,0.937500,,
0.937500,0.937500,,
0.953125,0.937500,,
0.968750,0.937500,,
0.984375,0.937500,,
1.000000,0.937500,,
-1.000000,0.921875,,
-0.984375,0.921875,,
-0.968750,0.921875,,
-0.953125,0.921875,,
-0.937500,0.921875,,
-0.921875,0.921875,,
-0.906250,0.921875,,
-0.890625,0.921875,,
-0.875000,0.921875,,
-0.859375,0.921875,,
-0.843750,0.921875,,
-0.828125,0.921875,,
-0.812500,0.921875,,
-0.796875,0.921875,,
-0.781250,0.921875,,
-0.765625,0.921875,,
-0.750000,0.921875,,
-0.734375,0.921875,,
-0.718750,0.921875,,
-0.703125,0.921875,,
-0.687500,0.921875,,
-0.671875,0.921875,,
-0.656250,0.921875,,
-0.640625,0.921875,,
-0.625000,0.921875,,
-0.609375,0.921875,,
-0.593750,0.921875,,
-0.578125,0.921875,,
-0.562500,0.921875,,
-0.546875,0.921875,,
-0.531250,0.921875,,
-0.515625,0.921875,,
-0.500000,0.921875,,
-0.484375,0.921875,,
-0.468750,0.921875,,
-0.453125,0.921875,,
-0.437500,0.921875,,
-0.421875,0.921875,0.053690,0.095841
-0.406250,0.921875,0.053690,0.261204
-0.390625,0.921875,0.053690,0.333333
-0.375000,0.921875,0.053690,0.333333
-0.359375,0.921875,0.161080,1.000000
-0.343750,0.921875,0.483250,0.333333
-0.328125,0.921875,0.483250,0.333333
-0.312500,0.921875,0.483250,0.135078
-0.296875,0.921875,0.483250,0.142857
-0.281250,0.921875,0.483250,0.250000
-0.265625,0.921875,,
-0.250000,0.921875,,
-0.234375,0.921875,,
-0.218750,0.921875,,
-0.203125,0.921875,,
-0.187500,0.921875,,
-0.171875,0.921875,0.429550,0.500000
-0.156250,0.921875,0.429550,0.116066
-0.140625,0.921875,,
-0.125000,0.921875,,
-0.109375,0.921875,,
-0.093750,0.921875,,
-0.078125,0.921875,,
-0.062500,0.921875,,
-0.046875,0.921875,,
-0.031250,0.921875,,
-0.015625,0.921875,,
0.000000,0.921875,,
0.015625,0.921875,,
0.031250,0.921875,,
0.046875,0.921875,,
0.062500,0.921875,,
0.078125,0.921875,,
0.093750,0.921875,,
0.109375,0.921875,,
0.125000,0.921875,,
0.140625,0.921875,,
0.156250,0.921875,,
0.171875,0.921875,,
0.187500,0.921875,,
0.203125,0.921875,0.429550,0.141188
0.218750,0.921875,0.429550,0.333333
0.234375,0.921875,,
0.250000,0.921875,,
0.265625,0.921875,,
0.281250,0.921875,,
0.296875,0.921875,,
0.312500,0.921875,0.483250,0.085983
0.328125,0.921875,0.483250,1.000000
0.343750,0.921875,0.483250,0.095841
0.359375,0.921875,0.483250,0.150221
0.375000,0.921875,0.483250,0.333333
0.390625,0.921875,0.483250,0.333333
0.406250,0.921875,0.053690,1.000000
0.421875,0.921875,0.053690,0.333333
0.437500,0.921875,0.053690,0.333333
0.453125,0.921875,0.053690,0.217129
0.468750,0.921875,,
0.484375,0.921875,,
0.500000,0.921875,,
0.515625,0.921875,,
0.531250,0.921875,,
0.546875,0.921875,,
0.562500,0.921875,,
0.578125,0.921875,,
0.593750,0.921875,,
0.609375,0.921875,,
0.625000,0.921875,,
0.640625,0.921875,,
0.656250,0.921875,,
0.671875,0.921875,,
0.687500,0.921875,,
0.703125,0.921875,,
0.718750,0.921875,,
0.734375,0.921875,,
0.750000,0.921875,,
0.765625,0.921875,,
0.781250,0.921875,,
0.796875,0.921875,,
0.812500,0.921875,,
0.828125,0.921875,,
0.843750,0.921875,,
0.859375,0.921875,,
0.875000,0.921875,,
0.890625,0.921875,,
0.906250,0.921875,,
0.921875,0.921875,,
0.937500,0.921875,,
0.953125,0.921875,,
0.968750,0.921875,,
0.984375,0.921875,,
1.000000,0.921875,,
-1.000000,0.906250,,
-0.984375,0.906250,,
-0.968750,0.906250,,
-0.953125,0.906250,,
-0.937500,0.906250,,
-0.921875,0.906250,,
-0.906250,0.906250,,
-0.890625,0.906250,,
-0.875000,0.906250,,
-0.859375,0.906250,,
-0.843750,0.906250,,
-0.828125,0.906250,,
-0.812500,0.906250,,
-0.796875,0.906250,,
-0.781250,0.906250,,
-0.765625,0.906250,,
-0.750000,0.906250,,
-0.734375,0.906250,,
-0.718750,0.906250,,
